vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0,0,0,16891,144.146,121,37
0,0,0,16892,144.384,122,37
0,0,0,16893,144.622,123,37
0,0,0,16894,144.86,124,37
0,0,0,16895,145,124.589,37
0,0,0,16896,145.098,125,37
0,0,0,16897,145.336,126,37
0,0,0,16898,145.574,127,37
0,0,0,16899,145.812,128,37
0,0,0,16900,146,128.792,37
0,0,0,16901,146.049,129,37
0,0,0,16902,146.287,130,37
0,0,0,16903,146.525,131,37
0,0,0,16904,146.763,132,37
0,0,0,16905,147,132.996,37
0,0,0,16906,147.001,133,37
0,0,0,16907,147.239,134,37
0,0,0,16908,147.477,135,37
