vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0.0370331,-0.0974669,0.268098,4265,110.478,121,14
0.0405116,-0.114962,0.313164,4266,110.603,122,14
0.0576481,-0.117947,0.347972,4267,110.728,123,14
0.029902,-0.138171,0.346027,4268,110.853,124,14
-0.0187177,-0.117005,0.262186,4269,110.978,125,14
-0.020058,-0.107103,0.252899,4270,111,125.18,14
-0.0260124,-0.064624,0.212856,4271,111.102,126,14
-0.0218335,-0.142518,0.212634,4272,111,126,14.5497
-0.0347389,-0.0512279,0.137288,4273,111.227,127,14
-0.0354741,-0.0439309,0.04157,4274,111.352,128,14
-0.0513269,-0.0402926,-0.0394058,4275,111.477,129,14
-0.0242768,-0.0172822,-0.0856757,4276,111.602,130,14
0.00385539,-0.0114354,-0.124253,4277,111.727,131,14
0.0801731,-0.0340534,-0.138374,4278,111.851,132,14
0.116457,-0.0386411,-0.15242,4279,111.976,133,14
0.120406,-0.0409889,-0.161247,4280,112,133.19,14
0.136229,-0.0500922,-0.198866,4281,112.101,134,14
0.132355,-0.077969,-0.21603,4282,112,134,14.5428
0.219665,-0.0502969,-0.257139,4283,112.226,135,14
0.260526,-0.0575044,-0.300121,4284,112.351,136,14
0.303865,-0.0692016,-0.362851,4285,112.476,137,14
0.288329,-0.0692803,-0.37598,4286,112.6,138,14
0.270778,-0.0646373,-0.339995,4287,112.725,139,14
0,0,0,4288,112.85,140,14
0,0,0,4289,112.975,141,14
0,0,0,4290,113,141.2,14
0,0,0,4291,113.1,142,14
0,0,0,4292,113,142,14.5358
0,0,0,4293,113.225,143,14
0,0,0,4294,113.349,144,14
0,0,0,4295,113.474,145,14
0,0,0,4296,113.599,146,14
0,0,0,4297,113.724,147,14
0,0,0,4298,113.849,148,14
0,0,0,4299,113.974,149,14
0,0,0,4300,114,149.211,14
0,0,0,4301,114.099,150,14
0,0,0,4302,114,150,14.5289
0,0,0,4303,114.223,151,14
0,0,0,4304,114.348,152,14
0,0,0,4541,108.669,108,15
0,0,0,4542,108.794,109,15
0,0,0,4543,108.919,110,15
0,0,0,4544,109,110.651,15
0,0,0,4545,109.044,111,15
0,0,0,4546,109,111,15.2338
0,0,0,4547,109.168,112,15
0,0,0,4548,109,112,15.904
0,0,0,4549,109.293,113,15
0,0,0,4550,109.418,114,15
0,0,0,4551,109.543,115,15
0,0,0,4552,109.668,116,15
0,0,0,4553,109.793,117,15
0,0,0,4554,109.917,118,15
0,0,0,4555,110,118.661,15
0,0,0,4556,110.042,119,15
0,0,0,4557,110,119,15.2269
0,0,0,4558,110.167,120,15
0,0,0,4559,110,120,15.897
-0.0203393,-0.104594,0.151842,4560,110.292,121,15
0.0367918,-0.151045,0.305484,4561,110.417,122,15
0.0639456,-0.181588,0.335406,4562,110.542,123,15
0.0609187,-0.196906,0.335406,4563,110.666,124,15
-0.00704722,-0.213633,0.278629,4564,110.791,125,15
-0.0187324,-0.207338,0.213815,4565,110.916,126,15
-0.0425015,-0.198565,0.159812,4566,111,126.672,15
-0.0537612,-0.194343,0.134605,4567,111.041,127,15
-0.049924,-0.20385,0.129182,4568,111,127,15.2199
-0.0537612,-0.131481,0.0570363,4569,111.166,128,15
-0.0382301,-0.19973,0.0626712,4570,111,128,15.8901
-0.0507261,-0.12073,-0.0343038,4571,111.291,129,15
-0.0253294,-0.110298,-0.0778767,4572,111.415,130,15
-0.0103244,-0.0862266,-0.127444,4573,111.54,131,15
0.0632771,-0.0995639,-0.169128,4574,111.665,132,15
0.107996,-0.0958045,-0.201401,4575,111.79,133,15
0.132928,-0.103411,-0.230186,4576,111.915,134,15
0.173784,-0.0965779,-0.266048,4577,112,134.682,15
0.193701,-0.095554,-0.28248,4578,112.04,135,15
0.191947,-0.111913,-0.28275,4579,112,135,15.2129
0.23303,-0.111579,-0.301418,4580,112.165,136,15
0.203412,-0.17244,-0.298222,4581,112,136,15.8831
0.270348,-0.106077,-0.344112,4582,112.289,137,15
0.255494,-0.0867337,-0.345883,4583,112.414,138,15
0.193911,-0.0679814,-0.248589,4584,112.539,139,15
0,0,0,4585,112.664,140,15
0,0,0,4586,112.789,141,15
0,0,0,4587,112.914,142,15
0,0,0,4588,113,142.693,15
0,0,0,4589,113.038,143,15
0,0,0,4590,113,143,15.206
0,0,0,4591,113.163,144,15
0,0,0,4592,113,144,15.8762
0,0,0,4593,113.288,145,15
0,0,0,4594,113.413,146,15
0,0,0,4595,113.538,147,15
0,0,0,4596,113.663,148,15
0,0,0,4597,113.787,149,15
0,0,0,4598,113.912,150,15
0,0,0,4599,114,150.703,15
0,0,0,4600,114.037,151,15
0,0,0,4601,114,151,15.199
0,0,0,4602,114.162,152,15
0,0,0,4603,114,152,15.8692
0,0,0,4837,108.483,108,16
0,0,0,4838,108.608,109,16
0,0,0,4839,108.732,110,16
0,0,0,4840,108.857,111,16
0,0,0,4841,108.982,112,16
0,0,0,4842,109,112.143,16
0,0,0,4843,109.107,113,16
0,0,0,4844,109,113,16.5742
0,0,0,4845,109.232,114,16
0,0,0,4846,109.357,115,16
0,0,0,4847,109.481,116,16
0,0,0,4848,109.606,117,16
0,0,0,4849,109.731,118,16
0,0,0,4850,109.856,119,16
0,0,0,4851,109.981,120,16
0,0,0,4852,110,120.154,16
0,0,0,4853,110.106,121,16
0,0,0,4854,110,121,16.5672
-0.00498837,-0.153201,0.252678,4855,110.23,122,16
0.0196171,-0.243216,0.288076,4856,110.355,123,16
0.0319384,-0.265348,0.292271,4857,110.48,124,16
-0.00463229,-0.2925,0.265702,4858,110.605,125,16
-0.0176143,-0.264543,0.213221,4859,110.73,126,16
-0.0392938,-0.239881,0.112038,4860,110.855,127,16
-0.0367322,-0.209516,0.0635081,4861,110.98,128,16
-0.0330378,-0.206395,0.0501022,4862,111,128.164,16
-0.0160175,-0.194869,-0.0167573,4863,111.104,129,16
0.0015158,-0.213973,-0.0140143,4864,111,129,16.5603
-0.00534083,-0.192075,-0.068371,4865,111.229,130,16
0.0139807,-0.186706,-0.121177,4866,111.354,131,16
0.0532045,-0.191401,-0.17894,4867,111.479,132,16
0.103782,-0.179948,-0.213834,4868,111.604,133,16
0.139462,-0.186764,-0.251764,4869,111.729,134,16
0.184807,-0.173622,-0.283408,4870,111.853,135,16
0.199277,-0.180818,-0.29824,4871,111.978,136,16
0.204325,-0.178568,-0.30163,4872,112,136.174,16
0.227803,-0.167483,-0.319763,4873,112.103,137,16
0.207173,-0.186192,-0.301815,4874,112,137,16.5533
0.190033,-0.133652,-0.280831,4875,112.228,138,16
0,0,0,4876,112.353,139,16
0,0,0,4877,112.478,140,16
0,0,0,4878,112.602,141,16
0,0,0,4879,112.727,142,16
0,0,0,4880,112.852,143,16
0,0,0,4881,112.977,144,16
0,0,0,4882,113,144.185,16
0,0,0,4883,113.102,145,16
0,0,0,4884,113,145,16.5463
0,0,0,4885,113.227,146,16
0,0,0,4886,113.351,147,16
0,0,0,4887,113.476,148,16
0,0,0,4888,113.601,149,16
0,0,0,4889,113.726,150,16
0,0,0,4890,113.851,151,16
0,0,0,5129,108.296,108,17
0,0,0,5130,108.421,109,17
0,0,0,5131,108.546,110,17
0,0,0,5132,108.671,111,17
0,0,0,5133,108.796,112,17
0,0,0,5134,108.921,113,17
0,0,0,5135,109,113.635,17
0,0,0,5136,109.046,114,17
0,0,0,5137,109,114,17.2443
0,0,0,5138,109.17,115,17
0,0,0,5139,109,115,17.9145
0,0,0,5140,109.295,116,17
0,0,0,5141,109.42,117,17
0,0,0,5142,109.545,118,17
0,0,0,5143,109.67,119,17
0,0,0,5144,109.795,120,17
0,0,0,5145,109.919,121,17
0,0,0,5146,110,121.646,17
0,0,0,5147,110.044,122,17
0,0,0,5148,110,122,17.2374
0.0147654,-0.266521,0.222733,5149,110.169,123,17
0.00117114,-0.0246369,0.0205915,5150,110,123,17.9076
0.0495408,-0.310684,0.264679,5151,110.294,124,17
0.0453217,-0.345457,0.245571,5152,110.419,125,17
-0.00923979,-0.346014,0.170877,5153,110.544,126,17
0.00350559,-0.317616,0.0938515,5154,110.668,127,17
0.00539268,-0.268138,0.00797873,5155,110.793,128,17
0.0182375,-0.23049,-0.0110558,5156,110.918,129,17
0.020447,-0.233085,-0.0361033,5157,111,129.656,17
0.0232936,-0.234686,-0.0475329,5158,111.043,130,17
0.0394297,-0.251438,-0.0412075,5159,111,130,17.2304
0.0332884,-0.244091,-0.0946188,5160,111.168,131,17
0.0768439,-0.305029,-0.0678325,5161,111,131,17.9006
0.0563372,-0.26298,-0.170887,5162,111.293,132,17
0.103097,-0.272037,-0.190099,5163,111.417,133,17
0.145036,-0.272037,-0.241355,5164,111.542,134,17
0.183056,-0.234539,-0.26201,5165,111.667,135,17
0.193654,-0.220893,-0.294074,5166,111.792,136,17
0.189547,-0.201296,-0.287473,5167,111.917,137,17
0.167142,-0.178949,-0.264341,5168,112,137.667,17
0.153606,-0.167072,-0.249186,5169,112.042,138,17
0.121911,-0.130279,-0.196341,5170,112,138,17.2235
0,0,0,5171,112.166,139,17
0,0,0,5172,112,139,17.8936
0,0,0,5173,112.291,140,17
0,0,0,5174,112.416,141,17
0,0,0,5175,112.541,142,17
0,0,0,5176,112.666,143,17
0,0,0,5177,112.791,144,17
0,0,0,5178,112.915,145,17
0,0,0,5179,113,145.677,17
0,0,0,5180,113.04,146,17
0,0,0,5181,113,146,17.2165
0,0,0,5182,113.165,147,17
0,0,0,5183,113,147,17.8867
0,0,0,5184,113.29,148,17
0,0,0,5185,113.415,149,17
0,0,0,5186,113.54,150,17
0,0,0,5187,113.665,151,17
0,0,0,5424,108.11,108,18
0,0,0,5426,108.235,109,18
0,0,0,5427,108.36,110,18
0,0,0,5428,108.485,111,18
0,0,0,5429,108.61,112,18
0,0,0,5430,108.734,113,18
0,0,0,5431,108.859,114,18
0,0,0,5432,108.984,115,18
0,0,0,5433,109,115.128,18
0,0,0,5434,109.109,116,18
0,0,0,5435,109,116,18.5847
0,0,0,5436,109.234,117,18
0,0,0,5437,109.359,118,18
0,0,0,5438,109.483,119,18
0,0,0,5439,109.608,120,18
0,0,0,5440,109.733,121,18
0,0,0,5441,109.858,122,18
